algorithm, solution, depth, cost, expanded_nodes, visited_nodes, average_branching_factor, execution_time, result, n
Backtracking, 'EastAllison'->'Ellismouth'->'EastHenryton'->'Jonathanhaven'->'LakeKevin'->'Stewartport'->'Leemouth'->'Amandatown'->'Stricklandberg'->'Catherineshire'->'EastNathanside'->'NewSusanbury', 11, 411.62600000000003, 21, 22, 3.1904761904761907, 0.00024959800066426396, success, 25
BFS, 'EastAllison'->'Ellismouth'->'Ricardoview'->'EastNathanside'->'NewSusanbury', 4, 186.864, 19, 25, 1.263157894736842, 0.00010837299942068057, success, 25
DFS, 'EastAllison'->'LakeKevin'->'Stewartport'->'Leemouth'->'Amandatown'->'WestDavid'->'Gomezborough'->'EastNathanside'->'NewSusanbury', 8, 370.931, 14, 14, 2.4285714285714284, 9.590999979991466e-05, success, 25
UCS, 'EastAllison'->'Ellismouth'->'SouthAmber'->'Ricardoview'->'EastNathanside'->'NewSusanbury', 5, 186.636, 107, 24, 4.458333333333333, 0.0012633189999178285, success, 25
Greedy, 'EastAllison'->'Stewartport'->'Leemouth'->'Grossberg'->'Cynthiaton'->'EastMark'->'Amandatown'->'Stricklandberg'->'NorthRobertchester'->'SouthLeslieville'->'Stephaniechester'->'EastNathanside'->'NewSusanbury', 12, 400.5130000000001, 12, 13, 3.0833333333333335, 0.0002583049999884679, success, 25
Astar, 'EastAllison'->'Ellismouth'->'SouthAmber'->'Ricardoview'->'EastNathanside'->'NewSusanbury', 5, 186.636, 20, 25, 1.6, 0.0003427130004638457, success, 25
IDAstar, 'EastAllison'->'Ellismouth'->'NewCindy'->'Ricardoview'->'EastNathanside'->'NewSusanbury', 5, 192.571, 31, 73, 2.4615384615384617, 0.0005538989998967736, success, 25
Backtracking, 'EastAnn'->'Buckleyport'->'Jenningsview'->'LakeJerrychester'->'Simmonsburgh'->'NewEmily'->'Amandaville'->'EastJeffrey'->'LakeNatalie'->'WestAndrea'->'Patriciaview'->'SouthChad'->'NewJane'->'WestBrandonborough', 13, 518.9359999999999, 22, 23, 3.1363636363636362, 0.00026484600039111683, success, 25
BFS, 'EastAnn'->'Buckleyport'->'WestAndrea'->'Patriciaview'->'WestBrandonborough', 4, 206.571, 19, 25, 1.263157894736842, 9.651099935581442e-05, success, 25
DFS, 'EastAnn'->'Buckleyport'->'Jenningsview'->'WestAaron'->'LakeJerrychester'->'Simmonsburgh'->'NewEmily'->'Amandaville'->'WestBrandonborough', 8, 263.648, 8, 9, 2.625, 5.9932999647571705e-05, success, 25
UCS, 'EastAnn'->'LakeJerrychester'->'Simmonsburgh'->'NewEmily'->'NewJane'->'WestBrandonborough', 5, 191.48600000000002, 108, 25, 4.32, 0.0013271380003061495, success, 25
Greedy, 'EastAnn'->'LakeJerrychester'->'Simmonsburgh'->'NewEmily'->'NewJane'->'WestBrandonborough', 5, 191.48600000000002, 5, 6, 3.2, 0.0001706200000626268, success, 25
Astar, 'EastAnn'->'LakeJerrychester'->'Simmonsburgh'->'NewEmily'->'NewJane'->'WestBrandonborough', 5, 191.48600000000002, 16, 23, 1.8125, 0.0002536349993533804, success, 25
IDAstar, 'EastAnn'->'Buckleyport'->'WestAndrea'->'Patriciaview'->'WestBrandonborough', 4, 206.571, 124, 254, 2.05, 0.0018284879997736425, success, 25
Backtracking, 'Gloverport'->'Arroyoshire'->'Davidsonburgh'->'Armstrongton'->'Amyton'->'Jonesfort'->'Barnesmouth'->'EastMarkville'->'Martinezfurt'->'EastCurtiston', 9, 297.95599999999996, 9, 10, 3.7777777777777777, 9.789399973669788e-05, success, 25
BFS, 'Gloverport'->'LakeDominique'->'Jonesfort'->'NorthJasonburgh'->'Martinezfurt'->'EastCurtiston', 5, 185.405, 23, 25, 1.0434782608695652, 0.00014723599997523706, success, 25
DFS, 'Gloverport'->'NorthMicheal'->'LakeDominique'->'Jonesfort'->'Amyton'->'Armstrongton'->'Davidsonburgh'->'Michaelhaven'->'NorthSusan'->'LakeDeanna'->'WestKelsey'->'Sandrastad'->'WestKevin'->'Powellhaven'->'EastCurtiston', 14, 397.18800000000005, 16, 17, 2.6875, 0.00013905000014347024, success, 25
UCS, 'Gloverport'->'LakeDominique'->'Jonesfort'->'Barnesmouth'->'Martinezfurt'->'EastCurtiston', 5, 159.84499999999997, 108, 25, 4.32, 0.0014610999996875762, success, 25
Greedy, 'Gloverport'->'NewStephanie'->'Armstrongton'->'WestGabrielmouth'->'WestKelsey'->'NorthSusan'->'WestKevin'->'Powellhaven'->'EastCurtiston', 8, 194.384, 8, 9, 4.125, 0.0002836319999914849, success, 25
Astar, 'Gloverport'->'LakeDominique'->'Jonesfort'->'Barnesmouth'->'Martinezfurt'->'EastCurtiston', 5, 159.845, 20, 25, 1.55, 0.00040857600015442586, success, 25
IDAstar, 'Gloverport'->'LakeDominique'->'Jonesfort'->'Barnesmouth'->'EastMarkville'->'Martinezfurt'->'EastCurtiston', 6, 161.946, 52, 106, 2.347826086956522, 0.0010045130002254155, success, 25
