algorithm, solution, depth, cost, expanded_nodes, visited_nodes, average_branching_factor, execution_time, result, n
Backtracking, 'Torreschester'->'Jameston'->'Joneston'->'Flemingview'->'Herreraport'->'Brownville'->'Lisaburgh'->'WestShane', 7, 237.113, 7, 8, 1.0, 5.2597999456338584e-05, success, 25
BFS, 'Torreschester'->'PortLarryburgh'->'Savannahburgh'->'PortJoseph'->'WestShane', 4, 196.585, 20, 25, 4.65, 9.39859992286074e-05, success, 25
DFS, 'Torreschester'->'Jameston'->'Joneston'->'Flemingview'->'Herreraport'->'SouthMichaelmouth'->'Michaelview'->'Howardview'->'Nguyenville'->'SouthMichael'->'PortLarryburgh'->'Savannahburgh'->'WestGeorge'->'Marksborough'->'Amandachester'->'PortJoseph'->'WestShane', 16, 568.803, 16, 17, 4.75, 9.826399946177844e-05, success, 25
UCS, 'Torreschester'->'Jameston'->'Robertmouth'->'PortLarryburgh'->'Savannahburgh'->'PortJoseph'->'WestShane', 6, 178.99899999999997, 108, 25, 4.32, 0.0010722220004026894, success, 25
Greedy, 'Torreschester'->'SouthMichael'->'Garrettshire'->'PortJoseph'->'WestShane', 4, 191.067, 4, 5, 5.25, 0.00010913400001300033, success, 25
Astar, 'Torreschester'->'Jameston'->'Robertmouth'->'PortLarryburgh'->'Savannahburgh'->'PortJoseph'->'WestShane', 6, 178.99900000000002, 19, 22, 2.4210526315789473, 0.00023077300011209445, success, 25
IDAstar, 'Torreschester'->'Jameston'->'Joneston'->'Flemingview'->'Howardview'->'PortJoseph'->'WestShane', 6, 211.149, 9, 20, 1.0, 0.0015152320002016495, success, 25
Backtracking, 'NewDouglas'->'Bennettside'->'EastKathryn'->'NewJasonmouth'->'EastMarthamouth'->'Kevinhaven'->'Francismouth'->'Erikachester'->'Martinchester'->'NewPaul', 9, 244.30499999999998, 9, 10, 1.0, 7.6774000262958e-05, success, 25
BFS, 'NewDouglas'->'EastKathryn'->'NewJasonmouth'->'EastMarthamouth'->'NorthAngelicafurt'->'NewPaul', 5, 205.17499999999998, 23, 25, 4.3478260869565215, 0.00011378399995010113, success, 25
DFS, 'NewDouglas'->'SouthGeorge'->'NorthChristinamouth'->'Bennettside'->'EastKathryn'->'NewJasonmouth'->'WestLaurabury'->'Rodriguezfurt'->'EastMarthamouth'->'NorthAngelicafurt'->'NewPaul', 10, 287.882, 15, 14, 4.466666666666667, 8.13530004961649e-05, success, 25
UCS, 'NewDouglas'->'SouthGeorge'->'Rodriguezfurt'->'EastMarthamouth'->'Kevinhaven'->'WestSusanhaven'->'PortKenneth'->'Martinchester'->'NewPaul', 8, 174.61299999999997, 108, 25, 4.32, 0.0011743029999706778, success, 25
Greedy, 'NewDouglas'->'SouthGeorge'->'Rodriguezfurt'->'EastMarthamouth'->'NorthAngelicafurt'->'NewPaul', 5, 174.88100000000003, 5, 6, 5.2, 0.00019638800040411297, success, 25
Astar, 'NewDouglas'->'SouthGeorge'->'Rodriguezfurt'->'EastMarthamouth'->'Kevinhaven'->'WestSusanhaven'->'PortKenneth'->'Martinchester'->'NewPaul', 8, 174.613, 20, 25, 2.6, 0.0003197089999957825, success, 25
IDAstar, 'NewDouglas'->'Bennettside'->'EastKathryn'->'NewJasonmouth'->'EastMarthamouth'->'NorthAngelicafurt'->'NewPaul', 6, 219.59699999999998, 8, 13, 1.0, 0.0016491639999003382, success, 25
Backtracking, 'NorthJosephtown'->'Cathyport'->'Jennifershire'->'Dixonbury'->'Heatherville'->'Henryfort'->'Aaronview', 6, 327.233, 6, 7, 1.0, 4.979299956175964e-05, success, 25
BFS, 'NorthJosephtown'->'Morganbury'->'LakeDavid'->'Henryfort'->'Aaronview', 4, 254.557, 18, 24, 4.722222222222222, 8.832599996821955e-05, success, 25
DFS, 'NorthJosephtown'->'Cathyport'->'Ortizfort'->'LakeJefferyside'->'LakeDavid'->'Henryfort'->'Heatherville'->'Richardsonberg'->'Thompsonborough'->'Mclaughlinberg'->'Jonesland'->'Aaronview', 11, 420.648, 26, 22, 4.461538461538462, 0.00012782900012098253, success, 25
